Age,Series,men,women,men_tooltip,women_tooltip
0-14,Count,-52777,45762,52777,45762
0-14,Proportion,-0.0221393406313133,0.0203012041778904,2.2%,2%
15-24,Count,-114541,216513,114541,216513
15-24,Proportion,-0.07360508843586376,0.14617473887602764,7.4%,14.6%
25-34,Count,-146418,262764,146418,262764
25-34,Proportion,-0.08174150528798056,0.14331067936278005,8.2%,14.3%
35-44,Count,-142688,223260,142688,223260
35-44,Proportion,-0.08314628216872132,0.12602452076136286,8.3%,12.6%
45-54,Count,-144938,213853,144938,213853
45-54,Proportion,-0.09117432439233053,0.1290429054853176,9.1%,12.9%
55-64,Count,-128630,184736,128630,184736
55-64,Proportion,-0.08777814097047971,0.11959995235061659,8.8%,12%
65-74,Count,-87057,114528,87057,114528
65-74,Proportion,-0.07333128926341041,0.090033913654609,7.3%,9%
75-84,Count,-40123,59183,40123,59183
75-84,Proportion,-0.062195305318603095,0.08091631232824271,6.2%,8.1%
85+,Count,-15361,38417,15361,38417
85+,Proportion,-0.07299467781790533,0.11574767326598434,7.3%,11.6%
